Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Benin,BEN,5.85771420543269,5.33313570603937,4.64303087074482,3.44357677591658,4.42968455385082,1.71316456361184,3.94373882815798,5.98634932177609,4.89657708429647,2.31929213912838,2.11406472648392,2.96375291904201,4.811223315688,7.19143372144946,6.35767909791932,1.77815106030278,3.33967342629693,5.67156195150444,6.69725362180888,6.86568662848335,3.84879240030133,7.1554516457574,6.25324491401346,6.35282160914288
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bermuda,BMU,9.31715641086083,7.22243553752608,-1.47779059768867,3.41070667687531,2.32126722323136,1.67420611410508,5.5438663804406,3.34513970877607,-1.86595582635186,-5.6266977105161,-2.50287828947368,-3.74274431740703,-5.30529910675297,-0.279708545423034,-3.70106759364258,0.775529699568978,-0.657206304259205,3.61141983706115,-0.432801300339307,0.306266735233933,-6.84286964270544,5.41909484048358,6.43113399633694,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bhutan,BTN,3.35506830487249,7.32837445197947,10.4437795421609,7.78656053594256,5.15725725627645,6.93507146649731,5.64080526497442,16.1047836486158,4.52944869181806,7.66749240307558,11.9318739003882,8.30764783243984,5.09549264378806,1.65845557774038,5.71786561190564,6.56845431717086,8.40055375505406,3.50756740346327,3.50187185732737,5.75514851246506,-10.2183974208569,4.42136738945015,5.21386783786224,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bolivia,BOL,2.50781080899483,1.68379912721825,2.48556573783829,2.71133983700673,4.17329558916248,4.42143312687979,4.79700882356067,4.56438426887887,6.14849787462164,3.35699957430565,4.1267225910567,5.204092443086,5.12227558091757,6.79601142810841,5.46056950635136,4.85718717971413,4.26392086382113,4.19520633360395,4.22362365271844,2.21670563961031,-8.7378843576993,6.11137269714146,3.60568042633635,2.44347191830776
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bosnia and Herzegovina,BIH,5.41431594987489,2.42331317180992,5.02744420733983,3.8671387951343,6.32526616861466,3.89717798992193,5.41400357079434,5.85712634217094,5.44383103450177,-3.00445593013346,0.865669260237084,0.959511247241267,-0.821836474216894,2.3498566632458,1.15385109200403,4.31475061116335,3.24225521171914,3.24410095889466,3.82749920546897,2.88734334414875,-3.01509514759861,7.38996234012757,4.22681101095546,1.6762234691309
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Botswana,BWA,1.98769583378552,0.250573949689084,6.06953087648317,4.62589474959299,2.70582170611173,4.55664565323181,8.36387109282306,5.79255577727118,3.25207295796832,-14.1442346163423,10.1222091179732,6.83852974803483,-0.170900761456892,11.1028237779771,5.69477738185952,-4.85133564036167,7.20442475914267,4.1143636634186,4.18809355373698,3.0322025744566,-8.72875252639037,11.9206365085117,5.48602817797183,2.73091904554352
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Brazil,BRA,4.38794944745618,1.38989640095637,3.05346185909312,1.14082899824888,5.75996463670954,3.20213206130431,3.96198871122617,6.06987060678338,5.09419544658736,-0.125812002161169,7.52822581815364,3.97442307944702,1.92117598576537,3.00482266944432,0.503955740242247,-3.54576339269425,-3.27591690782192,1.32286905404399,1.783666761634,1.22077782360842,-3.2767587964736,4.76260437908608,3.01669435393015,2.90848048667777
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Brunei Darussalam,BRN,2.84942185782727,2.74404051765202,3.87209696704298,2.90395547653115,0.504318252687327,0.38750720823208,4.39771967752176,0.154581811742773,-1.93971463784671,-1.76453554132601,2.59896574643226,3.74531835205994,0.912841670964411,-2.12602851740175,-2.50835256644561,-0.392383749502031,-2.47791771833224,1.32860255161715,0.0522377907767719,3.86910986506845,1.1335733495246,-1.59076260099606,-1.62833154515108,1.40706822925519
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bulgaria,BGR,4.58722685869408,3.82370396508492,5.8719296097282,5.23715425251341,6.510425672373,7.0563496005182,6.80258960222969,6.65438762501466,6.1295587623277,-3.34714226298303,1.55535951301474,2.09017569644121,0.748814802957327,-0.542751313085674,0.949448520821818,3.39755387590648,3.02662839224124,2.74592725876734,2.69490655338835,4.03518894662498,-3.96615613627334,7.6617480742932,3.92643222124569,1.84638956019879
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Burkina Faso,BFA,1.88847388906525,6.61340574539679,4.35296382988099,7.80249388870359,4.47845213670386,8.66187322841225,6.25316468817478,4.11137901761516,5.79999174105387,2.96195085866692,8.44628157707625,6.62256261306693,6.45267237953146,5.79258484509867,4.32684561452976,3.9212287937935,5.95797670754024,6.20348941121868,6.60456906812341,5.8892049704591,2.01077262411845,6.93915524675779,1.77791543778547,2.96018001322078
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Burundi,BDI,-0.856864058424151,2.05580710835243,4.44651941224797,-1.22372796023444,4.83365776809453,0.900000000901912,5.41380714491444,3.45194856381943,4.86171636712641,3.81274536633418,5.12415999439806,4.03259998844415,4.44670633111495,4.92418989834684,4.24065021402657,-3.9000000804855,-0.600000909116389,0.500001262429279,1.60993542127714,1.81256532401552,0.327156892638385,3.09999999870627,1.84899943948213,2.70000059705133
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cabo Verde,CPV,14.2848688450919,2.23165454528898,5.25089116960211,4.17625932578332,10.197072633926,6.91245795720201,7.98375044795048,15.1706879735517,7.03901129565128,-1.50358672385678,1.83641914989978,3.92471821338283,1.08364848376166,0.632136727385131,0.696666840118581,0.936026507808833,4.28071482662371,4.5513148102974,3.70696460651756,6.94782632492097,-20.8052759150896,7.03353010325927,17.439079439153,5.14913485822454
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cambodia,KHM,9.99358032294613,8.14838609677599,6.57893949872768,8.50589556031385,10.3405287733229,13.2500869149454,10.7710836693663,10.2125739144392,6.69157747619946,0.0866969592693891,5.96307857286416,7.06956994629047,7.31334550565219,7.35666514861452,7.14257110024776,6.96579781650981,6.93331397162559,6.99690369958998,7.46916920803093,7.05410693152042,-3.09600673131888,3.0263893638939,5.2398102893046,5.39999999995442
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cameroon,CMR,3.83241779430614,4.32426119221549,4.47702683369155,5.45315368881347,7.04886281858374,2.22827020924117,3.80958327566137,4.32758900972871,2.8476778892105,2.57925177738754,2.89902472122014,3.37921128506045,4.62597872209571,4.99552916130783,5.71981814509198,5.66695298703932,4.53579423678801,3.54117654926007,3.95551423892049,3.47505998194981,0.259932915907115,3.33885747179505,3.58279631926052,3.99338950938622
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Canada,CAN,5.13853918593026,1.87509813216803,2.9992553495694,1.80638513484521,3.09236383456562,3.21045435651203,2.6379438004107,2.04990461109004,0.995406309993598,-2.91508623949733,3.09080637403602,3.13719438973661,1.75566132540601,2.32581357393478,2.87346677184995,0.649970993709132,1.03855093491798,3.03383490260789,2.74296343112555,1.9084319253883,-5.03823344128351,5.28695689105889,3.81986633913397,1.06599445256434
